q_widzisz	Co teraz widzisz przed sobą?
q_lodowka	Idź do lodówki w kuchni.
q_gdzie	Gdzie teraz jesteś i co robisz?
q_kanapa	Znajdź kanapę.
q_stop	Stop, zatrzymaj się natychmiast!
q_trasa	Podejdź powoli do wielkiego okna po lewej stronie.
q_drzwi	Znajdź drzwi.
q_historia	Co robiłeś przez ostatnie pół minuty?
q_mapa	Co już znasz z tego pomieszczenia? Opowiedz o mapie.
q_opowiedz	Opowiedz mi dokładnie wszystko o tym pokoju.
q_kuchnia	Idź teraz szybko do kuchni!
q_imie	Jak masz na imię, piesku?
q_umiesz	Co umiesz robić?
q_kolor	Jakiego koloru jest podłoga?
q_dokad	A dokąd mógłbyś mnie zaprowadzić?
q_schody	Wejdź po schodach na górę.
